subject	origonal_subject	subject_name	subject_category	subject_mapped_with_taxon	subject_mapped_with_database	subject_mapped_with_level	object	origonal_object	object_name	object_category	object_mapped_with_taxon	object_mapped_with_database	object_mapped_with_level	article_curie	config_curator_name	config_curator_organization	file_name	pmc_file_caption	sample_size	p_value	multiple_testing_correction_method	assertion_strength	assertion_method	notes	knowledge_level	agent_type
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	EFO:0004501	HOMA-IR	HOMA-IR	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.019915	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C4553799	Uric acid	Uric acid metabolic function	biolink:BiologicalProcess	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.058597	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C0427512	White blood cells count	White blood cell number - finding	biolink:PhenotypicFeature	not applicable	babel	L2	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.045669	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	EFO:0004541	HbA1c	HbA1c measurement	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.119688	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	MESH:D002097	hsCRP	C-Reactive Protein	biolink:ChemicalEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.015756	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:17925	Glucose	alpha-D-glucose	biolink:SmallMolecule	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.003145	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:39026	LDL (particle number)	low-density lipoprotein	biolink:ChemicalEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.000118	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	PUBCHEM.COMPOUND:251717	ALAT (SGPT)	Alanine Transaminase	biolink:SmallMolecule	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.003978	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	EFO:0006336	Diastolic	diastolic blood pressure	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.004661	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C4553029	Alkaline Phosphatase	Alkaline phosphatase metabolic function	biolink:BiologicalProcess	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.002161	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
