subject	origonal_subject	subject_name	subject_category	subject_mapped_with_taxon	subject_mapped_with_database	subject_mapped_with_level	object	origonal_object	object_name	object_category	object_mapped_with_taxon	object_mapped_with_database	object_mapped_with_level	article_curie	config_curator_name	config_curator_organization	file_name	pmc_file_caption	sample_size	p_value	multiple_testing_correction_method	assertion_strength	assertion_method	notes	knowledge_level	agent_type
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	4.5685969999999999E-2	FDR of 10 percent	4.5620465999999998E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:838	Prevotella	Prevotella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	4.1729810000000001E-3	FDR of 10 percent	-0.270623157	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	2.4707102000000002E-2	FDR of 10 percent	0.36490579299999998	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	6.6784050000000001E-3	FDR of 10 percent	7.2664286999999994E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	1.1152176999999999E-2	FDR of 10 percent	6.260433E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	4.5685969999999999E-2	FDR of 10 percent	5.3587496999999998E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:906	Megasphaera	Megasphaera	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000980	FDR of 10 percent	-0.17362499300000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1375	Aerococcus	Aerococcus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000000	FDR of 10 percent	-1.074166577	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:906	Megasphaera	Megasphaera	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	2.0494591E-2	FDR of 10 percent	-0.13187596100000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:906	Megasphaera	Megasphaera	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000670	FDR of 10 percent	-0.20945918499999999	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:838	Prevotella	Prevotella	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000000	FDR of 10 percent	-0.94668018499999995	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:906	Megasphaera	Megasphaera	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000061	FDR of 10 percent	-0.24190732000000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	2.1861839999999999E-3	FDR of 10 percent	6.6259047000000001E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1380	Atopobium	Atopobium	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000022	FDR of 10 percent	-0.32283983500000002	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:906	Megasphaera	Megasphaera	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000012	FDR of 10 percent	-0.29207544899999999	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	2.6165720000000002E-3	FDR of 10 percent	6.8950427999999994E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	1.8614008000000001E-2	FDR of 10 percent	5.1543169E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:236752	Fastidiosipila	Fastidiosipila	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000000	FDR of 10 percent	-0.83468446600000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	3.0894624999999998E-2	FDR of 10 percent	0.38823007700000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
